"%s: Bad command line argument(s)\n";"%s: Foutieve parameter(s) voor opdrachtregel\n"
"Earth God's Temple";"Tempel van de Aardse God"
"Eastern Door";"Oostelijke Deur"
"Ecliptic Line";"Ecliptica"
"Edasich";""
"Effects ";"Effecten "
"Egg Nebula";""
"Egyptian";"Egyptisch"
"Einstein Cross";""
"Elara";""
"Electra";""
"Elk";""
"Emptiness";"Leegte"
"Encampment";"Kampement"
"End Script";""
"Enif";""
"Enter observatory name";"Voer naam van sterrenwacht in"
"Equator Line";"Hemelequator"
"Equatorial Grid";"Equatoriaal raster"
"Equatorial/Altazimuthal Mount";""
"Equatorial/altazimuthal mount";""
"Equuleus";"Veulen"
"Eris";""
"Errai";""
"Error: Unable to open script file to record commands.";""
"Establishment";"Nederzetting"
"Etamin";""
"Extended Net";"Uitgeworpen Net"
"Face On Galaxy";""
"Farmland";"Akkergrond"
"Fast Forward Script";""
"Favdna";""
"Favdna's Bow and Arrow";""
"Ferdinand";""
"Ferry Boat";"Veerboot"
"Fireplace";""
"First Big One";""
"First Slim One";""
"Five Chariots";"Vijf Strijdwagens"
"Five Feudal Kings";"Vijf Leenheren"
"Flail";"Dorsvlegel"
"Flight Duration: ";"Duurtijd zoom: "
"Flip Horizontally";""
"Flip Vertically";""
"Flock";"Kudde"
"Flying Corridor";"Luchtweg"
"Fog";"Mist"
"Fomalhaut";""
"For unlisted screen resolution, edit the file :";"Voor een schermresolutie niet in de lijst, bewerk het bestand :"
"Ford";"Wad"
"Fornax";"Oven"
"Forward 24 Hours";""
"Forward 7 Days";""
"Four Channels";"Vier Kanalen"
"Fox";"Mist"
"Francisco";""
"Frigate Bird";"Fregatvogel"
"Furud";""
"GO";"Start"
"Gacrux";""
"Galactic Grid";""
"Galatea";""
"Galaxy spiral arms";""
"Galla";""
"Galla's Sons";""
"Ganymede";"Ganymedes"
"Gemini";"Tweelingen"
"General ";"Algemeen "
"Ghosts";"Geesten"
"Giant";"Reus"
"Giausar";""
"Gienah";""
"Girl";"Meisje"
"Girtab";""
"Globular Cluster Ara";""
"Go to Selected Body";""
"Gomeisa";""
"Good Gourd";"Goede Kalebas"
"Great General";"Grote Generaal"
"Ground";"Grond"
"Grumium";""
"Grus";"Kraanvogel"
"Guide star";""
"H II LMC";""
"Hadar";""
"Halimede";""
"Hamal";""
"Hand";""
"Hasta";""
"Hawaiki";""
"Heading: ";""
"Heart";"Hart"
"Herder";""
"Hiki-analia";""
"Hiku-ha";""
"Hiku-kahi";""
"Hiku-kolu";""
"Hiku-lima";""
"Hiku-lua";""
"Hiku-ono";""
"Hiku-pau";""
"Himalia";""
"Hindu";""
"Hippopotamus";"Nijlpaard"
"Hit CTRL-R again to stop.\n";"Druk nogmaals CTRL+R om te stoppen.\n"
"Hoku'ula";""
"Hokule'a";""
"Hokulei";""
"Hokupa'a";""
"Holopuni";""
"Homan";""
"Hook";"Haak"
"Horn";"Hoorn"
"Horologium";"Slingeruurwerk"
"Hour";"Uur"
"Hubble Deep Field";""
"Hubble Ultra Deep Field";""
"Hubble V";""
"Hubble X";""
"Humu";""
"Hydra";"Slang"
"Hydrus";"Kleine slang"
"IC434 & Horse Head Nebula";""
"Imperial Guards";"Keizerlijke Wacht"
"Imperial Passageway";"Keizerlijke Toegang"
"Increase Time Rate";""
"Indus";"Indiaan"
"Information";"Informatie"
"Interacting Galaxies";""
"Internal Script: ";""
"Inuit";""
"Inuit (color)";""
"Invalid Script command";"Ongeldige scriptopdracht"
"Izar";""
"Jade Well";"Jaden Bron"
"Jaw";"Kaak"
"Juliet";""
"Jyeshtha";""
"Ka-maile-hope";""
"Ka-maile-mua";""
"Ka_Maka";""
"Kaalpurush";""
"Kapteyn's Star";""
"Kaulia";""
"Kaulua-koko";""
"Kaus Australis";""
"Kaus Borealis";""
"Kaus Media";""
"Ke_ali'i_o_kona_i_ka_lewa";""
"Keid";""
"Keoe";""
"Keyhole Nebula";""
"Khanuwy Fish";"Khanuwy vis"
"Kitalpha";""
"Kitchen";"Keuken"
"Kite of Kawelo";"Vlieger van Kawelo"
"Kocab";""
"Kornephoros";""
"Kratu";""
"Kritika";""
"Kruger 60";""
"Kuiper Belt Objects";""
"Kurhah";""
"LMC Supernova Remnant";""
"Lacerta";"Hagedis"
"Laghu Saptrishi";""
"Lakota";""
"Lamp Stand";""
"Lance";"Lans"
"Landscape: ";"Landschap: "
"Landscapes";"Landschappen"
"Language";"Taal"
"Laomedeia";""
"Larissa";""
"Latitude : ";"Breedtegraad: "
"Latitude: ";"Breedtegraad: "
"Leda";""
"Left Click";""
"Left Flag";"Linkervlag"
"Legs";"Benen"
"Lehua-Kona";""
