"%s: Bad command line argument(s)\n";"%s: Nesprávne argumenty príkazu\n"
"Cygnus";"Labuť"
"Dabih";""
"Danistha";""
"Date & Time";"Dátum a čas"
"Date Display Format: ";"Formát zobrazovania dátumu: "
"Day";"deň"
"Day keys: ";""
"Day star";""
"Decrease Time Rate";""
"Deepsky: ";""
"Delphinus";"Delfín"
"Deneb";""
"Deneb Algedi";""
"Denebola";""
"Despina";""
"Dhanishtha-1";""
"Dhanishtha-2";""
"Dhruv";""
"Dialogs and Other Controls:";""
"Dilyehe";""
"Diphda";""
"Dipper";"Potápka"
"Disk Viewport";"Orezať pohľad"
"Display Options:";""
"Distance: ";"Vzdialenosť: "
"Do";"Urobiť"
"Dog";"Pes"
"Dogs";"Psy"
"Dolphin";"Delfín"
"Done";"Hotovo"
"Dorado";"Mečiar"
"Double Bubble";""
"Draco";"Drak"
"Dried Willow";"Suchá vŕba"
"Drum";"Bubon"
"Drumstick";"Palička na bubnovanie"
"Dschubba";""
"Dubhe";""
"During Script Playback:";"Počas prehrávania skriptu:"
"Dwarf Planets";""
"Dwarf irregular galaxy";""
"E";"Východ"
"Earth";"Zem"
"Earth God's Temple";"Chrám Boha Zeme"
"Eastern Door";"Východné dvere"
"Ecliptic Line";"čiara ekliptiky"
"Edasich";""
"Effects ";"Efekty "
"Egg Nebula";""
"Egyptian";"Egyptská"
"Einstein Cross";"Einsteinov kríž"
"Elara";""
"Electra";""
"Elk";"Los"
"Emptiness";"Prázdnota"
"Encampment";"Tábor"
"End Script";""
"Enif";""
"Enter observatory name";"Zadaj meno observatória"
"Equator Line";"Rovníková čiara"
"Equatorial Grid";"Ekvatoriálna mriežka"
"Equatorial/Altazimuthal Mount";""
"Equatorial/altazimuthal mount";""
"Equuleus";"Koník"
"Errai";""
"Error: Unable to open script file to record commands.";"Chyba: Nie je možné otvoriť skriptovací súbor pre zanamenávanie."
"Establishment";"Sídlo"
"Etamin";""
"Europa";"Európa"
"Extended Net";"Roztiahnutá sieť"
"Face On Galaxy";""
"Farmland";"Úrodná pôda"
"Fast Forward Script";""
"Favdna";""
"Favdna's Bow and Arrow";""
"Ferdinand";""
"Ferry Boat";"Pramica"
"Fireplace";"Ohnisko"
"First Big One";""
"First Slim One";"Prvý Chudý"
"Five Chariots";"Päť vozov"
"Five Feudal Kings";"Päť feudálnych kráľov"
"Flail";"Cep"
"Flight Duration: ";"Trvanie zväčšenia: "
"Flip Horizontally";""
"Flip Vertically";""
"Flock";"Kŕdeľ"
"Flying Corridor";"Lietajúci koridór"
"Fog";"Hmla"
"Fomalhaut";""
"For unlisted screen resolution, edit the file :";"Pre nezobrazené rozlíšenia obrazovky edituj súbor :"
"Ford";"Brod"
"Fornax";"Pec"
"Forward 24 Hours";""
"Forward 7 Days";""
"Four Channels";"Štyri kanály"
"Fox";"Hmla"
"Francisco";""
"Frigate Bird";"Fregata (vták)"
"Furud";""
"GO";"Choď"
"Gacrux";""
"Galactic Grid";""
"Galaxy spiral arms";""
"Galla";""
"Galla's Sons";""
"Ganymede";"Ganymedes"
"Gemini";"Blíženci"
"General ";"Hlavné "
"Ghosts";"Duchovia"
"Giant";"Obor"
"Giausar";""
"Gienah";""
"Girl";"Dievča"
"Girtab";""
"Globular Cluster Ara";""
"Go to Selected Body";""
"Gomeisa";""
"Good Gourd";"Čerstvá tekvica"
"Great General";"Veľký generál"
"Ground";"Zem"
"Grumium";""
"Grus";"Žeriav"
"Guide star";""
"H II LMC";""
"Hadar";""
"Halimede";""
"Hamal";""
"Hand";"Ruka"
"Hasta";""
"Hawaiki";""
"Heading: ";"Nadpis: "
"Heart";"Srdce"
"Help";"Nápoveda"
"Hercules";"Herkules"
"Herder";""
"Hiki-analia";""
"Hiku-ha";""
"Hiku-kahi";""
"Hiku-kolu";""
"Hiku-lima";""
"Hiku-lua";""
"Hiku-ono";""
"Hiku-pau";""
"Hindu";""
"Hippopotamus";"Hroch"
"Hit CTRL-R again to stop.\n";"Stlač CTRL-R opäť pre zastavenie.\n"
"Hoku'ula";""
"Hokule'a";""
