"%s: Bad command line argument(s)\n";"%s: Kļūdains komandrindas arguments(ti)\n"
"Current Time Speed is x";"Šobrīd laika ātrums ir x"
"Cursa";"Valis"
"Cursor : ";"Kursors : "
"Cursor Timeout: ";"Kursora taimauts: "
"Curved Array";"Līkumotā Rinda"
"Cycle through meteor shower rates";""
"Cygnus";"Gulbis"
"DEC";""
"Dabih";""
"Danistha";""
"Date & Time";"Laiks un Datums"
"Date Display Format: ";"Datuma formāts: "
"Day";"Diena"
"Day keys: ";""
"Day star";""
"Decrease Time Rate";"Palēnināt laiku [J]"
"Deepsky: ";""
"Deimos ";"Deimoss"
"Delphinus";"Delfīns"
"Deneb";"Diona"
"Deneb Algedi";""
"Denebola";""
"Desdemona";""
"Despina";"Delfīns"
"Dhanishtha-1";""
"Dhanishtha-2";""
"Dhruv";"Bungas"
"Dialogs and Other Controls:";""
"Dilyehe";""
"Dione";"Diona"
"Diphda";""
"Dipper";"Smeļamais"
"Disk Viewport";"Diskveida skata lauks"
"Display Options:";""
"Distance: ";"Attālums: "
"Do";"Suns"
"Dog";"Suns"
"Dogs";"Suns"
"Dolphin";"Delfīns"
"Done";"Diona"
"Dorado";"Zelta Zivs"
"Double Bubble";""
"Draco";"Pūķis"
"Dried Willow";"Vītols"
"Drum";"Bungas"
"Drumstick";"Bungu vālīte"
"Dschubba";""
"Dubhe";""
"During Script Playback:";""
"Dwarf Planets";"Planētas"
"Dwarf irregular galaxy";""
"E";"A"
"Earth";"Zeme"
"Earth God's Temple";"Zemes Dieva Templis"
"Eastern Door";"Austrumu Durvis"
"Ecliptic Line";"Ekliptikas līnija"
"Edasich";""
"Effects ";"Efekti "
"Egg Nebula";""
"Egyptian";"Ēģiptiešu"
"Einstein Cross";""
"Elara";"Zeme"
"Electra";""
"Elk";""
"Emptiness";"Tukšums"
"Encampment";"Apmentne"
"Enceladus";"Encelads"
"End Script";"Skripti "
"Enif";""
"Enter observatory name";"Ievadiet novērojumu vietas nosaukumu"
"Equator Line";"Ekvatora līnija"
"Equatorial Grid";"Ekvatoriālais tīkls"
"Equatorial/Altazimuthal Mount";"Ekvatoriālais/Azimutālais montējums [ENTER]"
