"%s: Bad command line argument(s)\n";"%s: Kļūdains komandrindas arguments(ti)\n"
"Tripod";"Trijkājis"
"Triton";"Titāns"
"Tropic Lines";"Planētu ceļi"
"Truncated Projection";"Projekcija :"
"Try `%s --help' for more information.\n";"Lai iegūtu papildus informāciju, mēģiniet '%s --help'\n"
"Tucana";"Tukans"
"Turtle";"Upes Bruņurupucis"
"Twinkling: ";"Mirgošana: "
"Two Jaws";"Divi Žokļi"
"Two Placed Far Apart";""
"Two Poles";"Divas Kārtis"
"Two Sunbeams";"Divi Žokļi"
"Two in Front";""
"Type: ";"Tips: "
"USB Script: ";"Skripti "
"Umbriel";""
"Unselect";""
"Unukalhai";""
"Update me via Internet: ";"Atjaunot no interneta: "
"Uranus";"Urāns"
"Ursa Major";"Lielais lācis"
"Ursa Minor";"Mazais Lācis"
"Using System Default Time Zone";"Tiek izmantota sistēmas (default) laika zona"
"Uttarabhadrapad-1";""
"Uttarabhadrapad-2";""
"UttraPhalguni-1";""
"Uttrabhadprad";""
"Uttraphalguni";""
"Uttraphalguni-2";""
"Uttrasadha";""
"Uttrasdha";""
"V838 Monocerotis";"Vienradzis"
"Van Maanen 2";""
"Vashista";""
"Vega";"Buras"
"Vela";"Buras"
"Venus";"Venera"
"Video";"Videorežīmi"
"Video Offset: ";""
"Video Shear: ";"Šķēps"
"Vindemiatrix";""
"Virgo";"Jaunava"
"Vishakha";""
"Voice of Joy";"Prieka Balss"
"Volans";"Lidojošā Zivs"
"Vulpecula";"Lapsiņa"
"W";"R"
"Wall";"Siena"
"Wasat";""
"Wazn";""
"Weaving Girl";"Audēja"
"Well";"Aka"
"Western";"Rietumu"
"Western (color)";"Rietumu Durvis"
"Western (modern)";"Rietumu Durvis"
"Western Door";"Rietumu Durvis"
"Wezen";"Rietumu"
"Willow";"Vītols"
"Wings";"Spārni"
"Winnowing Basket";"Vētījamais Grozs"
"Wolf's Mouth";""
"Woman's Bed";"Sievietes Gulta"
"Woman's Cart";"Sievietes Gulta"
"Xuanyuan";"Suanjuanas pilsēta"
"Year";"Gads"
"Yed Posterior";""
"Yed Prior";""
"Yes";"Jā"
"Yildun";""
"Zaniah";""
"Zaofu";"Dzaofu"
"Zaurak";""
"Zavijava";""
"Zibal";"Svari"
"Zoom Duration: ";"Tuvinājuma ilgums: "
"Zoom In";""
"Zoom Offset: ";""
"Zoom Out";"Tuvinājuma ilgums: "
"Zoom out (planet and satellites views)";""
"Zoom to selected object";"Parādīt izvēlēto objektu [SPACE]"
"Zosma";"Leņķmērs"
"Zubenelgenubi";""
"Zubeneschamali";""
"change to apply.";"ir nepieciešams pārstartēt programmu."
"kly";""
"ly";"Ērglis"
